id, longitude, latitude
1, -820053471, 334925040
2, -820054104, 334924773
3, -820054905, 334924578
4, -820055721, 334924859
5, -820056060, 334925516
6, -820055884, 334926273
7, -820055068, 334926681
8, -820053949, 334926672
9, -820053391, 334926103
10, -820053283, 334925562
11, -820052112, 334924797
