Time, fixType, gnssFixOk, headVehValid, invalid_llh, latitude, longitude, SIV, groundSpeed, headingMotion, headingVehicle, distanceBetween, targetHeading, currentHeading, headingError, gpsError, averageGPSError, index,Lat,Lon
4/13/2025 14:37,3,1,0,0,334924815,-820052790,24,601,26908240,0,13.62,266.91,267.1,0,-1.98,6.4,0,33.4924815,-82.005279
4/13/2025 14:37,3,1,0,0,334924813,-820052856,24,601,26968644,0,13.01,266.86,267.1,0,-2.59,6.4,0,33.4924813,-82.0052856
4/13/2025 14:37,3,1,0,0,334924811,-820052922,24,597,26930002,0,12.39,266.81,267.1,0,-2.2,6.4,0,33.4924811,-82.0052922
4/13/2025 14:37,3,1,0,0,334924810,-820052989,24,601,27006666,0,11.77,266.7,267.1,0,-2.97,6.4,0,33.492481,-82.0052989
4/13/2025 14:37,3,1,0,0,334924809,-820053055,24,601,26956738,0,11.16,266.57,269.68,-0.02,0.11,3.82,0,33.4924809,-82.0053055
4/13/2025 14:37,3,1,0,0,334924806,-820053124,25,593,27063218,0,10.52,266.54,269.68,-0.02,-0.96,3.82,0,33.4924806,-82.0053124
4/13/2025 14:37,3,1,0,0,334924804,-820053194,25,605,26984712,0,9.87,266.45,269.68,-0.02,-0.17,3.82,0,33.4924804,-82.0053194
4/13/2025 14:37,3,1,0,0,334924801,-820053264,25,600,27033156,0,9.22,266.4,269.68,-0.02,-0.66,3.82,0,33.4924801,-82.0053264
4/13/2025 14:37,3,1,0,0,334924798,-820053333,25,601,26982558,0,8.58,266.36,269.68,-0.02,-0.15,3.82,0,33.4924798,-82.0053333
4/13/2025 14:37,3,1,0,0,334924796,-820053402,25,603,26990214,0,7.94,266.22,269.68,-0.02,-0.23,3.82,0,33.4924796,-82.0053402
4/13/2025 14:37,3,1,0,0,334924794,-820053470,25,603,27038000,0,7.31,266.07,269.68,-0.02,-0.7,3.82,0,33.4924794,-82.005347
4/13/2025 14:37,3,1,0,0,334924792,-820053535,25,565,26841892,0,6.7,265.91,267.86,-0.01,-0.55,3.82,0,33.4924792,-82.0053535
4/13/2025 14:37,3,1,0,0,334924789,-820053601,25,591,26849454,0,6.09,265.81,267.8,-0.01,-0.69,3.82,0,33.4924789,-82.0053601
