id, longitude, latitude
1, -820052002, 334924601
2, -820053281, 334924991
3, -820054602, 334925370
4, -820053955, 334926425
5, -820054107, 334928169
6, -820055538, 334926988
7, -820056212, 334925886
8, -820057133, 334924739
9, -820054602, 334925370
10, -820053295, 334924980
11, -820052016, 334924601
