Latitude,Longitude,SIV,heading,speed,distanceBetween,targetHeading,currentHeading,headingError,gpsError,averageGPSError,lat,long,index
335417178,-820314127,32,13708150,1149,66.86,131.88,134.21,-0.01,-2.87,-21.35,33.5417178,-82.0314127,2
335417104,-820314038,32,13467248,1179,65.7,131.83,135.44,-0.02,0.77,-21.35,33.5417104,-82.0314038,2
335417033,-820313955,32,13597556,1083,64.6,131.76,133.36,-0.01,-2.61,-21.35,33.5417033,-82.0313955,2
335416964,-820313871,32,13314298,1105,63.51,131.71,134.51,-0.02,1.37,-21.35,33.5416964,-82.0313871,2
335416894,-820313785,31,13304294,1108,62.39,131.66,135.19,-0.02,2.15,-21.35,33.5416894,-82.0313785,2
335416825,-820313698,32,13292452,1124,61.28,131.63,136.27,-0.03,3.35,-21.35,33.5416825,-82.0313698,2
335416763,-820313620,31,13170972,947,60.28,131.59,133.83,-0.01,2.12,-21.35,33.5416763,-82.031362,2
335416700,-820313539,32,13218062,1066,59.26,131.57,133.91,-0.01,1.73,-21.35,33.54167,-82.0313539,2
335416632,-820313451,31,13246682,1114,58.14,131.55,134.31,-0.02,1.84,-21.35,33.5416632,-82.0313451,2
335416563,-820313359,32,13318966,1141,57,131.54,133.51,-0.01,0.32,-20.21,33.5416563,-82.0313359,2
335416492,-820313266,32,13236594,1165,55.83,131.52,135.26,-0.02,2.89,-20.21,33.5416492,-82.0313266,2
335416427,-820313176,32,13125734,1074,54.72,131.53,134.41,-0.02,3.15,-20.21,33.5416427,-82.0313176,2
335416360,-820313085,32,13238852,1135,53.6,131.53,135.5,-0.02,3.11,-20.21,33.541636,-82.0313085,2
335416294,-820312995,32,13258038,1067,52.49,131.54,134.13,-0.01,1.55,-20.21,33.5416294,-82.0312995,2
335416225,-820312904,32,13224332,1152,51.35,131.52,135.22,-0.02,2.97,-20.21,33.5416225,-82.0312904,2
335416162,-820312815,32,13172790,1069,50.26,131.54,134.37,-0.02,2.64,-20.21,33.5416162,-82.0312815,2
335416096,-820312726,32,13249664,1125,49.16,131.54,135.08,-0.02,2.58,-20.21,33.5416096,-82.0312726,2
335416023,-820312637,32,13430462,1156,48,131.47,135.64,-0.02,1.33,-20.21,33.5416023,-82.0312637,2
335415952,-820312549,31,13244842,1121,46.87,131.41,132.79,-0.01,0.34,-20.21,33.5415952,-82.0312549,2
335415882,-820312457,32,13067030,1140,45.71,131.38,133.05,-0.01,2.38,-20.21,33.5415882,-82.0312457,2
335415814,-820312364,32,13169538,1139,44.57,131.38,131.59,0,-0.1,-18.09,33.5415814,-82.0312364,2
335415742,-820312274,32,13395072,1157,43.41,131.32,131.72,0,-2.23,-18.09,33.5415742,-82.0312274,2
335415669,-820312184,31,13403834,1142,42.25,131.24,132.81,-0.01,-1.23,-18.09,33.5415669,-82.0312184,2
335415599,-820312094,31,13428348,1133,41.11,131.19,134.74,-0.02,0.46,-18.09,33.5415599,-82.0312094,2
335415525,-820312008,32,13536126,1133,39.97,131.05,137.57,-0.04,2.21,-18.09,33.5415525,-82.0312008,2
335415455,-820311930,31,13786610,1007,38.91,130.89,133.56,-0.01,-4.3,-18.09,33.5415455,-82.031193,2
335415385,-820311846,31,13295406,1131,37.81,130.77,132.91,-0.01,-0.04,-18.09,33.5415385,-82.0311846,2
335415311,-820311755,32,13439894,1201,36.64,130.66,135.69,-0.03,1.29,-18.09,33.5415311,-82.0311755,2
335415239,-820311667,32,13389642,1103,35.5,130.53,132.53,-0.01,-1.36,-18.09,33.5415239,-82.0311667,2
335415166,-820311577,32,13445712,1188,34.33,130.41,133.15,-0.02,-1.3,-18.09,33.5415166,-82.0311577,2
335415090,-820311482,32,13300458,1217,33.12,130.28,134.56,-0.02,1.56,-18.75,33.541509,-82.0311482,2
335415020,-820311390,32,13172108,1106,31.96,130.21,132.46,-0.01,0.74,-18.75,33.541502,-82.031139,2
335414949,-820311296,32,13131822,1193,30.79,130.13,133.06,-0.02,1.74,-18.75,33.5414949,-82.0311296,2
335414876,-820311200,32,13223884,1207,29.58,130.04,133.46,-0.02,1.22,-18.75,33.5414876,-82.03112,2
335414802,-820311103,32,13248482,1212,28.36,129.94,134,-0.02,1.52,-18.75,33.5414802,-82.0311103,2
335414733,-820311011,31,13176294,1118,27.22,129.85,132.25,-0.01,0.49,-18.75,33.5414733,-82.0311011,2
335414662,-820310916,31,13123410,1195,26.04,129.76,133.28,-0.02,2.05,-18.75,33.5414662,-82.0310916,2
335414587,-820310816,32,13211480,1250,24.79,129.65,134.67,-0.03,2.56,-18.75,33.5414587,-82.0310816,2
335414515,-820310722,32,13290420,1134,23.61,129.5,131.67,-0.01,-1.23,-18.75,33.5414515,-82.0310722,2
335414440,-820310625,32,13229650,1253,22.38,129.31,132.83,-0.02,0.54,-18.75,33.541444,-82.0310625,2
335414361,-820310522,32,13254784,1308,21.09,129.11,134.45,-0.03,1.91,-18.75,33.5414361,-82.0310522,2
335414287,-820310424,32,13238458,1181,19.86,128.92,129.17,0,-3.21,-17.56,33.5414287,-82.0310424,2
335414213,-820310326,32,13116384,1217,18.64,128.71,129.18,0,-1.98,-17.56,33.5414213,-82.0310326,2
335414136,-820310224,32,13246900,1289,17.37,128.45,130.17,-0.01,-2.3,-17.56,33.5414136,-82.0310224,2
