Time, fixType, gnssFixOk, headVehValid, invalid_llh, Lat, Lon, SIV, groundSpeed, headingMotion, headingVehicle, distanceBetween, targetHeading, currentHeading, headingError, gpsError, averageGPSError
3/29/2025 23:10:22, 3, 1, 0, 0, 334924927, -820052803, 29, 538, 31375558, 0, 7.08, 295.19, 299.42, -0.02, -14.34, 13.83
3/29/2025 23:10:23, 3, 1, 0, 0, 334924962, -820052842, 29, 537, 31679858, 0, 6.59, 293.46, 296.29, -0.02, -20.50, 13.83
3/29/2025 23:10:24, 3, 1, 0, 0, 334924995, -820052884, 29, 548, 31066526, 0, 6.09, 291.75, 295.42, -0.02, -15.25, 13.83
3/29/2025 23:10:25, 3, 1, 0, 0, 334925028, -820052925, 29, 524, 31327374, 0, 5.61, 289.71, 293.23, -0.02, -20.04, 13.83
3/29/2025 23:10:26, 3, 1, 0, 0, 334925060, -820052968, 29, 545, 31043238, 0, 5.11, 287.46, 292.54, -0.03, -17.89, 13.83
3/29/2025 23:10:27, 3, 1, 0, 0, 334925092, -820053010, 29, 533, 31348710, 0, 4.64, 284.71, 288.11, -0.02, -25.38, 13.83
3/29/2025 23:10:28, 3, 1, 0, 0, 334925122, -820053055, 29, 537, 30677864, 0, 4.16, 281.73, 287.04, -0.03, -19.73, 13.83
3/29/2025 23:10:29, 3, 1, 0, 0, 334925153, -820053100, 29, 539, 30931618, 0, 3.69, 277.80, 297.96, -0.11, -11.35, -1.78
3/29/2025 23:10:30, 3, 1, 0, 0, 334925181, -820053144, 29, 510, 30494714, 0, 3.25, 273.33, 281.34, -0.04, -23.61, -1.78
3/29/2025 23:10:32, 3, 1, 0, 0, 334925214, -820053223, 29, 428, 28634864, 0, 2.52, 265.95, 272.46, -0.04, -13.88, -1.78
3/29/2025 23:10:33, 3, 1, 0, 0, 334925221, -820053268, 29, 436, 27908602, 0, 2.11, 263.04, 265.96, -0.02, -13.12, -1.78
3/29/2025 23:10:34, 3, 1, 0, 0, 334925226, -820053322, 29, 536, 27517422, 0, 1.63, 258.95, 264.28, -0.03, -10.90, -1.78
3/29/2025 23:10:35, 3, 1, 0, 0, 334925230, -820053373, 29, 448, 27447648, 0, 7.22, 27.53, 273.66, 0.63, -0.82, -16.34
3/29/2025 23:10:35, 3, 1, 0, 0, 334925230, -820053373, 29, 448, 27447648, 0, 7.22, 27.53, 24.28, 0.02, -250.20, -16.34
3/29/2025 23:10:42, 3, 1, 0, 0, 334925267, -820053491, 29, 105, 35544704, 0, 7.46, 36.49, 34.41, 0.01, -321.04, -16.34
3/29/2025 23:10:43, 3, 1, 0, 0, 334925286, -820053478, 29, 304, 3548569, 0, 7.21, 36.71, 38.09, -0.01, 2.61, -16.34
3/29/2025 23:10:44, 3, 1, 0, 0, 334925311, -820053450, 29, 427, 4433938, 0, 6.84, 36.36, 38.72, -0.01, -5.62, -16.34
3/29/2025 23:10:45, 3, 1, 0, 0, 334925339, -820053411, 29, 496, 5071381, 0, 6.37, 35.40, 14.76, 0.11, -35.95, 7.30
3/29/2025 23:10:46, 3, 1, 0, 0, 334925367, -820053366, 29, 527, 5408274, 0, 5.88, 33.85, 31.89, 0.01, -22.19, 7.30
3/29/2025 23:10:48, 3, 1, 0, 0, 334925399, -820053301, 29, 281, 7287322, 0, 5.26, 30.55, 37.39, -0.04, -35.49, 7.30
3/29/2025 23:10:49, 3, 1, 0, 0, 334925404, -820053258, 29, 461, 8415654, 0, 5.02, 26.94, 30.20, -0.02, -53.96, 7.30
3/29/2025 23:10:50, 3, 1, 0, 0, 334925411, -820053209, 29, 477, 7888724, 0, 4.75, 22.48, 26.83, -0.02, -52.06, 7.30
3/29/2025 23:10:51, 3, 1, 0, 0, 334925419, -820053157, 29, 508, 7809447, 0, 4.51, 17.24, 22.39, -0.03, -55.71, 7.30
3/29/2025 23:10:52, 3, 1, 0, 0, 334925431, -820053104, 29, 510, 7380728, 0, 4.26, 11.44, 16.89, -0.03, -56.92, 7.30
3/29/2025 23:10:53, 3, 1, 0, 0, 334925445, -820053053, 29, 498, 6996088, 0, 4.03, 5.28, 11.20, -0.03, -58.76, 7.30
3/29/2025 23:10:54, 3, 1, 0, 0, 334925463, -820053004, 29, 503, 6508931, 0, 3.82, 358.75, 5.01, -0.03, -60.08, 7.30
3/29/2025 23:10:55, 3, 1, 0, 0, 334925484, -820052957, 29, 495, 6079156, 0, 3.62, 351.75, 46.26, -0.30, -14.54, -40.69
3/29/2025 23:10:55, 3, 1, 0, 0, 334925484, -820052957, 29, 495, 6079156, 0, 3.62, 351.75, 355.13, -0.02, 294.34, -40.69
3/29/2025 23:11:0, 3, 1, 0, 0, 334925609, -820052822, 29, 408, 906470, 0, 2.82, 321.04, 346.76, -0.14, 337.69, -40.69
3/29/2025 23:11:1, 3, 1, 0, 0, 334925645, -820052817, 29, 410, 636790, 0, 2.55, 314.57, 324.44, -0.05, 318.08, -40.69
3/29/2025 23:11:3, 3, 1, 0, 0, 334925712, -820052828, 29, 404, 34149868, 0, 2.01, 301.35, 313.63, -0.07, -27.87, -40.69
3/29/2025 23:11:4, 3, 1, 0, 0, 334925746, -820052846, 29, 402, 33428172, 0, 1.69, 293.31, 303.07, -0.05, -31.21, -40.69
3/29/2025 23:11:5, 3, 1, 0, 0, 334925775, -820052868, 29, 390, 32424370, 0, 6.22, 358.21, 326.60, 0.18, 2.35, -74.41
3/29/2025 23:11:5, 3, 1, 0, 0, 334925775, -820052868, 29, 390, 32424370, 0, 6.22, 358.21, 354.85, 0.02, 30.60, -74.41
3/29/2025 23:11:8, 3, 1, 0, 0, 334925823, -820052923, 29, 160, 33409846, 0, 5.69, 3.18, 2.66, 0.00, -331.44, -74.41
3/29/2025 23:11:9, 3, 1, 0, 0, 334925850, -820052925, 29, 360, 59528, 0, 5.39, 3.55, 4.35, -0.00, 3.75, -74.41
3/29/2025 23:11:10, 3, 1, 0, 0, 334925888, -820052922, 29, 464, 488880, 0, 4.97, 3.53, 3.72, -0.00, -1.17, -74.41
3/29/2025 23:11:11, 3, 1, 0, 0, 334925933, -820052913, 29, 518, 1091661, 0, 4.47, 2.86, 2.53, 0.00, -8.38, -74.41
3/29/2025 23:11:12, 3, 1, 0, 0, 334925979, -820052902, 29, 540, 1124428, 0, 3.95, 1.75, 1.97, -0.00, -9.27, -74.41
3/29/2025 23:11:13, 3, 1, 0, 0, 334926027, -820052892, 29, 545, 1046656, 0, 3.41, 0.47, 1.97, -0.01, -8.49, -74.41
3/29/2025 23:11:14, 3, 1, 0, 0, 334926076, -820052881, 29, 552, 1110477, 0, 2.87, 358.52, 1.97, -0.02, -9.13, -74.41
3/29/2025 23:11:15, 3, 1, 0, 0, 334926124, -820052868, 29, 550, 1280207, 0, 2.34, 355.23, 358.94, -0.02, 346.14, -71.38
3/29/2025 23:11:16, 3, 1, 0, 0, 334926171, -820052854, 29, 541, 1452413, 0, 1.84, 349.85, 357.13, -0.04, 342.60, -71.38
3/29/2025 23:11:17, 3, 1, 0, 0, 334926218, -820052842, 29, 524, 1177960, 0, 7.56, 355.71, 6.19, -0.06, -5.59, -87.01
3/29/2025 23:11:18, 3, 1, 0, 0, 334926255, -820052835, 29, 387, 790717, 0, 7.16, 354.94, 358.19, -0.02, 350.29, -87.01
3/29/2025 23:11:19, 3, 1, 0, 0, 334926286, -820052832, 29, 329, 311517, 0, 6.82, 354.46, 353.51, 0.01, 350.39, -87.01
3/29/2025 23:11:20, 3, 1, 0, 0, 334926323, -820052836, 29, 456, 35255572, 0, 6.40, 354.43, 352.63, 0.01, 0.08, -87.01
3/29/2025 23:11:21, 3, 1, 0, 0, 334926366, -820052843, 29, 504, 35310748, 0, 5.92, 354.61, 352.44, 0.01, -0.66, -87.01
3/29/2025 23:11:22, 3, 1, 0, 0, 334926412, -820052849, 29, 528, 35413936, 0, 5.41, 354.68, 352.44, 0.01, -1.70, -87.01
3/29/2025 23:11:23, 3, 1, 0, 0, 334926459, -820052855, 29, 537, 35468584, 0, 4.88, 354.77, 352.44, 0.01, -2.24, -87.01
