id, longitude, latitude
1, -820052435, 334924739
2, -820053494, 334925198
3, -820053013, 334925806
4, -820052889, 334926334
5, -820052903, 334926896
6, -820053219, 334927355
7, -820053715, 334927619
8, -820054403, 334927630
9, -820055159, 334927446
10, -820055696, 334927022
11, -820056301, 334926586
12, -820056535, 334925921
13, -820056439, 334925209
14, -820055847, 334924693
15, -820054815, 334924624
16, -820054004, 334924831
17, -820053494, 334925198
18, -820052421, 334924727
