id, longitude, latitude
1, -820052112, 334924797
2, -820053283, 334925562
3, -820053391, 334926103
4, -820053949, 334926672
5, -820055068, 334926681
6, -820055884, 334926273
7, -820056060, 334925516
8, -820055721, 334924859
9, -820054905, 334924578
10, -820054104, 334924773
11, -820053471, 334925040
12, -820052112, 334924797
